title,url
t,http://www.consumerfinance.gov/complaintdatabase/technical-documentation/#field-reference
t,http://www.transtats.bts.gov/TableInfo.asp?Table_ID=236&DB_Short_Name=On-Time&Info_Only=0
t,http://www.acq.osd.mil/ie/bei/opengov/release_notes.pdf
t,http://www.dlis.dla.mil/webflis/pub/pub_search_BSM.aspx
t,http://www.ssa.gov/oact/babynames/names.zip
t,http://www.pbm.va.gov/nationalformulary.asp
t,http://wonder.cdc.gov/cancer.html
t,http://ofmpub.epa.gov/sor_internet/registry/termreg/home/overview/home.do
t,http://www.icpsr.umich.edu/icpsrweb/SAMHDA/ssvd/series/64/variables
t,http://www.huduser.org/portal/datasets/ahs/AHS_Codebook2.1_Final.pdf
t,http://inventory.data.gov/dataset/fe9eeb10-2e90-433e-a955-5c679f682502/resource/b626ef1f-9019-41c4-91aa-5ae3f7457328
t,http://www.index.va.gov/search/va/bva.html
t,http://services.faa.gov/docs/services/airport/
t,http://www.dlis.dla.mil/H6/search.aspx
t,http://gbk.eads.usaidallnet.gov/data/files/DATADICTIONARY_ForeignAssistance.pdf
t,http://ofmpub.epa.gov/sor_internet/registry/termreg/home/overview/home.do
t,http://www.dlis.dla.mil/fiigs/
t,http://www.icpsr.umich.edu/icpsrweb/SAMHDA/studies/34933
t,https://www.fbo.gov/?s=generalinfo&mode=list&tab=list&tabmode=list&static=interface
t,https://inventory.data.gov/dataset/federal-data-center-consolidation-initiative-fdcci-data-center-closings-2010-2014/resource/5ac29bc3-2a8f-4bdc-810c-31598058ba8f
t,http://ogd.nhtsa.gov/UTQG/UTQG.xsd
t,http://www.cdc.gov/nchs/nsfg/nsfg_questionnaires.htm
t,http://www.asias.faa.gov/portal/page/portal/asias_pages/asias_home/datainfo:databases:p-z
t,http://ofmpub.epa.gov/sor_internet/registry/termreg/home/overview/home.do
t,http://www.va.gov/bluebutton
t,http://ofmpub.epa.gov/sor_internet/registry/termreg/home/overview/home.do
t,http://ofmpub.epa.gov/sor_internet/registry/termreg/home/overview/home.do
t,http://www.cdc.gov/nchs/VitalStats.htm
t,http://www.fhfa.gov/DataTools/Downloads/Documents/HPI/HPI_dictionary.xls
t,http://www.socialsecurity.gov/disability/data/ssa-sa-fywl.htm#DataDictionary
t,http://www.fra.dot.gov/Page/P0604
t,http://www.socialsecurity.gov/disability/data/ssa-sa-mowl.htm#DataDictionary
t,http://go.usa.gov/kfnh
t,http://www-fars.nhtsa.dot.gov/Main/index.aspx
t,https://inventory.data.gov/dataset/data-gov-dataset-view-metrics
t,http://www1.va.gov/vetdata/
t,http://www.ssa.gov/appeals/publicusefiles.html
t,http://ofmpub.epa.gov/sor_internet/registry/termreg/home/overview/home.do
t,http://www.gsa.gov/dg/Data_Dictionary_Building.docx
t,http://www.va.gov/vetdata/docs/SurveysAndStudies/NVSSurveyFinalWeightedReport.pdf
t,http://ofmpub.epa.gov/sor_internet/registry/termreg/home/overview/home.do
t,http://usoda.eads.usaidallnet.gov/data/files/DATADICTIONARY_ODACountryAgency.pdf
t,http://www-odi.nhtsa.dot.gov/help/ewrSearch.html#searchresults
t,http://www.nlm.nih.gov/mesh/MBrowser.html
t,http://www.usaspending.gov/sites/all/themes/usaspendingv2/Archives_Data_Feeds_Data_Dictionary.pdf
t,http://ofmpub.epa.gov/sor_internet/registry/termreg/home/overview/home.do
t,https://www.sam.gov/portal/public/SAM/
t,http://www.pbm.va.gov/PBM/nationalformulary/NDFDataStructure.pdf
t,https://www.asap.gsa.gov/datagov/auctions/auctions-data-dictionary.html
t,http://www.ssa.gov/oact/babynames/state/namesbystate.zip
t,http://ofmpub.epa.gov/sor_internet/registry/termreg/home/overview/home.do
t,http://www.ops.fhwa.dot.gov/freight/freight_analysis/faf/faf3/userguide/index.htm#t5
t,http://ai.fmcsa.dot.gov/ltccs/data/documents/LTCCS_Codebook.pdf
