'Description','Type / Format','Last Updated','File Name','Comments','Length','Values','Dataset Name','Dataset Description','Example','Name',
'foreign key to parent table bu25t1_amendments','NUMBER','2013-05-07 00:53:47','AA_SEQ_15207','NULL','22','NULL','BU25T1_AMEND_DELG','Amendments during Council Cycle for delegate agencies are listed here.','NULL','AA_SEQ',
'NULL','NUMBER','2013-05-07 00:53:47','AA_SEQ_15244','NULL','22','NULL','BU25T1_AMEND_DELG_HISTORY','Current budget year amendment delegate history is stored here if we ever went past 3 rounds. See bu25t1_amend_delg for column descriptions.','NULL','AA_SEQ',
'Generated Surrogate Key','NUMBER','2013-05-07 00:53:47','AA_SEQ_15363','NULL','22','NULL','BU25T1_APPR_AMTS','Appropriation amounts at the account level during the budget budget process. Child of bu25t1_appr table.','NULL','AA_SEQ',
'unique key','NUMBER','2013-05-07 00:53:49','AA_SEQ_15764','NULL','22','NULL','BU25T1_EPROGRAMS','programs for equipment note','NULL','AA_SEQ',
'foreign key to bu25t1_appr_amts','NUMBER','2013-05-07 00:53:49','AA_SEQ_15781','NULL','22','NULL','BU25T1_EPROGRAM_ITEMS','program items for equipment note requests','NULL','AA_SEQ',
'unique key','NUMBER','2013-05-07 00:53:49','AA_SEQ_15808','NULL','22','NULL','BU25T1_EQUIP_AMTS','Equipment note subsystem account data with history. Child table of bu25t1_appr.','NULL','AA_SEQ',
'Generated Surrogate Key','NUMBER','2013-05-07 00:53:50','AA_SEQ_16212','NULL','22','NULL','BU25T1_PROGRAMS','Dept programs','NULL','AA_SEQ',
'foreign key to parent bu25t1_appr_amts','NUMBER','2013-05-07 00:53:51','AA_SEQ_16246','NULL','22','NULL','BU25T1_PROGRAM_ITEMS','Lowest level for budget accounts. Itemizing what is in nonpersonnel accounts','NULL','AA_SEQ',
'primary key','NUMBER','2013-05-07 00:53:51','AA_SEQ_16293','NULL','22','NULL','BU25T1_REVENUE_AMTS','revenue collections provided by Dept of Finance revenue collections. Child table of bu25t1_revenue_appr','NULL','AA_SEQ',
'foreign key to bu25t1_revenue_amounts','NUMBER','2013-05-07 00:53:51','AA_SEQ_16344','NULL','22','NULL','BU25T1_RPROGRAMS','specific revenue sources that have been collected by Dept of Finance - revenue section','NULL','AA_SEQ',
'foreign key to bu25t1_revenue_amts','NUMBER','2013-05-07 00:53:51','AA_SEQ_16363','NULL','22','NULL','BU25T1_RPROGRAM_ITEMS','Revenue collection from Dept of Finance - Revenue section. Itemized data.','NULL','AA_SEQ',
'Compound primary key along with YEAR','NUMBER','2013-05-07 00:54:45','AA_SEQ_17726','NULL','22','NULL','BU50T1_CPR_ENOTE','Table contains no data','NULL','AA_SEQ',
'Foreign key to BU50T1_CPR_ENOTE','NUMBER','2013-05-07 00:54:47','AA_SEQ_18139','NULL','22','NULL','BU50T1_PRJ_FND_STRPS_ORIG_LOAD','Table contains no data.','NULL','AA_SEQ',
'Foreign key to BU50T1_CPR_ENOTE','NUMBER','2013-05-07 00:54:49','AA_SEQ_18550','NULL','22','NULL','BU50T1_PROJ_FUNDING_STRIPS_JN','All FMPS funding strips associated to a CPM project.','NULL','AA_SEQ',
'dept abbreviation','VARCHAR2','2013-05-07 00:54:17','ABBREVIATION_16841','NULL','10','NULL','DEPARTMENT','List of City departments managing CDGA programs','NULL','ABBREVIATION',
'Limited Clientele Activities for 1 - yes','NUMBER','2013-05-07 00:54:16','ABUSED_CHILDREN_16717','NULL','22','1=Yes','APPLICATION','CDGA applications','NULL','ABUSED_CHILDREN',
'always Y','VARCHAR2','2013-05-07 00:53:51','ACCOUNT_16338','NULL','1',''N'','BU25T1_REV_ORGS','List of general revenue categories and groupings','NULL','ACCOUNT',
'Major account codes','VARCHAR2','2013-05-07 00:54:17','ACCOUNT_NUMBER_16804','NULL','4','NULL','BUDGET_TYPE_CODE','List of account groupings','NULL','ACCOUNT_NUMBER',
'4 digit account number','VARCHAR2','2013-05-07 00:53:47','ACCT_15138','NULL','6','NULL','BU25T1_ALLOT_ACCT_EXCPT','Used at the end of the year for FMPS system to designate which accounts will not be restricted to quarterly allotments and or have percentage of appropriation held in reserve.','NULL','ACCT',
'4 digit account number','VARCHAR2','2013-05-07 00:53:47','ACCT_15276','NULL','4','NULL','BU25T1_AMEND_DESC','Used for displaying longer account descriptions as used in Finance General','NULL','ACCT',
'4 digit account number','VARCHAR2','2013-05-07 00:53:49','ACCT_15942','NULL','6','NULL','BU25T1_FMPS_IMPORT','Expenditure data from City Comptroller's FMPS system','NULL','ACCT',
'4 digit account number','VARCHAR2','2013-05-07 00:53:49','ACCT_15954','NULL','6','NULL','BU25T1_FMPS_IMPORT_DETAIL','Expenditure raw data from City Comptroller's FMPS system','NULL','ACCT',
'title code or account number','VARCHAR2','2013-05-07 00:53:50','ACCT_16059','NULL','6','NULL','BU25T1_HIST_PERS','Historical position counts and appropiation amounts by dept /fund/org and program','NULL','ACCT',
'NULL','VARCHAR2','2013-05-07 00:54:45','ACCT_17732','NULL','4','NULL','BU50T1_CPR_ENOTE','Table contains no data','NULL','ACCT',
'NULL','VARCHAR2','2013-05-07 00:54:46','ACCT_17965','NULL','4','NULL','BU50T1_FUNDING_ACCTS','Contains all the funding accounts as listed in the legacy CIP system.  This table is no longer used.','NULL','ACCT',
'Less Reduction from Unpaid Time Calculation','NUMBER','2013-05-07 00:53:47','ACCT_0030_PCT_15393','NULL','22','0','BU25T1_BARG_UNIT','List of bargaining units for City of Chicago employees','NULL','ACCT_0030_PCT',
'category for account number used by Budget Book Summary D','VARCHAR2','2013-05-07 00:53:48','ACCT_CATG_15508','NULL','1','NULL','BU25T1_CODE_OBJECTS','A library listing City department','NULL','ACCT_CATG',
'Y has commodity or N does not','VARCHAR2','2013-05-07 00:53:48','ACCT_CMMDTY_15500','NULL','1',''N'','BU25T1_CODE_OBJECTS','A library listing City department','NULL','ACCT_CMMDTY',
'Y" has commodity or N does not"','VARCHAR2','2013-05-07 00:53:52','ACCT_CMMDTY_16558','NULL','1','NULL','BU26T1_CODE_OBJECTS','Contains references that are used by the budget system (CBS) for processing and application use.','NULL','ACCT_CMMDTY',
'4 digit account number','VARCHAR2','2013-05-07 00:53:51','ACCT_DESC_16319','NULL','100','NULL','BU25T1_REVENUE_HOLD','Monthly revenue collection data provided to OBM from Dept of Finance Revenue Section','NULL','ACCT_DESC',
'4 digit account number','VARCHAR2','2013-05-07 00:53:47','ACCT_NO_15365','NULL','6','NULL','BU25T1_APPR_AMTS','Appropriation amounts at the account level during the budget budget process. Child of bu25t1_appr table.','NULL','ACCT_NO',
'account number','VARCHAR2','2013-05-07 00:53:49','ACCT_NO_15810','NULL','6','NULL','BU25T1_EQUIP_AMTS','Equipment note subsystem account data with history. Child table of bu25t1_appr.','NULL','ACCT_NO',
'4 digit account number','VARCHAR2','2013-05-07 00:53:50','ACCT_NO_15967','NULL','4','NULL','BU25T1_HISTORY_ACCTS','Historical data for dept/fund/org/account appropriations since 1989','NULL','ACCT_NO',
'4 digit account number','VARCHAR2','2013-05-07 00:53:51','ACCT_NO_16294','NULL','6','NULL','BU25T1_REVENUE_AMTS','revenue collections provided by Dept of Finance revenue collections. Child table of bu25t1_revenue_appr','NULL','ACCT_NO',
'4 digit account number','VARCHAR2','2013-05-07 00:53:51','ACCT_NO_16318','NULL','100','NULL','BU25T1_REVENUE_HOLD','Monthly revenue collection data provided to OBM from Dept of Finance Revenue Section','NULL','ACCT_NO',
'FMPS account number','VARCHAR2','2013-05-07 00:53:52','ACCT_NO_16621','NULL','4','NULL','BU26T1_PAYROLL_FMPS_DETAIL','Stores payroll information containing what FMPS has paid out.','NULL','ACCT_NO',
'Compound foreign key to BU26T1_CODE_OBJECTS','VARCHAR2','2013-05-07 00:53:52','ACCT_NO_16639','NULL','6','NULL','BU26T1_PRELIM','Stores the preliminary yearly budget at the start of the budget cycle.','NULL','ACCT_NO',
'compound foreign key with acct_no to bu25t1_code_objects tables','VARCHAR2','2013-05-07 00:53:47','ACCT_REF_CODE_15137','NULL','2',''B'','BU25T1_ALLOT_ACCT_EXCPT','Used at the end of the year for FMPS system to designate which accounts will not be restricted to quarterly allotments and or have percentage of appropriation held in reserve.','NULL','ACCT_REF_CODE',
'compound foreign key with acct_no to bu25t1_code_objects tables','VARCHAR2','2013-05-07 00:53:47','ACCT_REF_CODE_15364','NULL','2','NULL','BU25T1_APPR_AMTS','Appropriation amounts at the account level during the budget budget process. Child of bu25t1_appr table.','NULL','ACCT_REF_CODE',
'compound foreign key with acct_no to bu25t1_code_objects tables','VARCHAR2','2013-05-07 00:53:49','ACCT_REF_CODE_15809','NULL','2','NULL','BU25T1_EQUIP_AMTS','Equipment note subsystem account data with history. Child table of bu25t1_appr.','NULL','ACCT_REF_CODE',
'Compound foreign key to BU26T1_CODE_OBJECTS','VARCHAR2','2013-05-07 00:53:52','ACCT_REF_CODE_16638','NULL','2','NULL','BU26T1_PRELIM','Stores the preliminary yearly budget at the start of the budget cycle.','NULL','ACCT_REF_CODE',
'reimbursable to dept code','VARCHAR2','2013-05-07 00:53:48','ACCT_REIMB_DEPT_15507','NULL','6','NULL','BU25T1_CODE_OBJECTS','A library listing City department','NULL','ACCT_REIMB_DEPT',
'P - personnel or "N" non-personnel acct','VARCHAR2','2013-05-07 00:53:48','ACCT_TYPE_15499','NULL','1','N'','BU25T1_CODE_OBJECTS','A library listing City department','NULL','ACCT_TYPE',
'P" - personnel or "N" non-personnel acct"','VARCHAR2','2013-05-07 00:53:52','ACCT_TYPE_16557','NULL','1','NULL','BU26T1_CODE_OBJECTS','Contains references that are used by the budget system (CBS) for processing and application use.','NULL','ACCT_TYPE',
'NULL','VARCHAR2','2013-05-07 00:54:44','ACTION_17467','NULL','15','NULL','BU50T1_ADDRESS_WORK_TYPE_JN','Contains all the work type information for a CPM number.','NULL','ACTION',
'NULL','VARCHAR2','2013-05-07 00:54:47','ACTION_18248','NULL','15','NULL','BU50T1_PROJECT_FUND_JN','Contains all project fund changes.','NULL','ACTION',
'NULL','VARCHAR2','2013-05-07 00:54:48','ACTION_18308','NULL','15','NULL','BU50T1_PROJECT_NOTE_JN','Contains all project notes contained in CPM','NULL','ACTION',
'NULL','VARCHAR2','2013-05-07 00:54:48','ACTION_18374','NULL','15','NULL','BU50T1_PROJECT_PHASE_JN','Contains all the CPM project phases for a CPM project.','NULL','ACTION',
'NULL','VARCHAR2','2013-05-07 00:54:48','ACTION_18481','NULL','15','NULL','BU50T1_PROJECT_TASK_NOTE_JN','Contains all the task notes for a CPM project.','NULL','ACTION',
'not used','VARCHAR2','2013-05-07 00:53:48','ACTION_CODE_15565','NULL','4','NULL','BU25T1_EMPLOYEES','Employee information for budget process.','NULL','ACTION_CODE',
'not used','VARCHAR2','2013-05-07 00:53:49','ACTION_CODE_15695','NULL','4','NULL','BU25T1_EMP_HOLD','A list of all personnel changes from CHIPPS (HR) during the budget process. ie resignations','NULL','ACTION_CODE',
